,MSE,MAE,R2,Explained Variance
Linear Regression,0.0031996570043768273,0.03629620207404992,0.8249726627912066,0.8251084235577459
Stochastic Gradient Descent,0.0037948464234527812,0.039647838045853104,0.7924146670394081,0.8003585445494301
Random Forest,4.103043294536601e-05,0.0030245184420000073,0.997755557107175,0.9977614969427404
XGBoost,2.306806779306121e-05,0.0019552492397102183,0.9987381327202108,0.998774813159052
