,MSE,MAE,R2,Explained Variance
Linear Regression,0.00030923583993765945,0.011336052783115298,0.8338701973620939,0.8347242579215516
Stochastic Gradient Descent,0.000480402706714079,0.015610997520513386,0.7419147571341829,0.8046508217787522
Random Forest,1.177766638187765e-05,0.001496529057199992,0.9936727211439952,0.99406089219572
XGBoost,1.4963079966166258e-07,0.0002768128935939412,0.9999196143137181,0.9999259652260242
