,MSE,MAE,R2,Explained Variance
Linear Regression,0.0005896671069449863,0.01904338650774561,-0.7116897278691163,-0.651273507895163
Stochastic Gradient Descent,0.0003484712230313712,0.01565879174205651,-0.011544659513176514,-0.009650364686814017
Random Forest,8.89407385651441e-05,0.004448104832400003,0.7418222132487831,0.7423454764776358
XGBoost,1.0861791737741754e-06,0.0007269303764398694,0.9968470316344981,0.9968522665965491
