,MSE,MAE,R2,Explained Variance
Linear Regression,0.00011026511103839879,0.006655164458970143,0.8809023152855316,0.8910469798164303
Stochastic Gradient Descent,0.000270128458011214,0.011886150106604067,0.7082334237760701,0.8608309947718469
Random Forest,2.9706265644161907e-06,0.0007937044884000206,0.9967914171342007,0.9968405005853558
XGBoost,3.1725861588516894e-07,0.00045352893251453377,0.999657327995666,0.9996591133516467
