,MSE,MAE,R2,Explained Variance
Linear Regression,4.182907023134438e-05,0.00546469584247873,0.4807467199836676,0.48688237986898686
Stochastic Gradient Descent,4.779867689988919e-05,0.00600491721064257,0.4066418492345567,0.4885157730433646
Random Forest,9.234661288818543e-06,0.0017946920955999963,0.8853637401563452,0.8862048265204435
XGBoost,4.905440653661488e-07,0.00044410197383026146,0.9939105360572168,0.994073726753529
