,MSE,MAE,R2,Explained Variance
Linear Regression,1.813883849151096e-05,0.003714640137307616,0.7209583436618998,0.7220827952039024
Stochastic Gradient Descent,3.48489626829213e-05,0.005048729683192396,0.46389553701258135,0.6267951982593256
Random Forest,1.855726887180231e-06,0.0009327311659999985,0.9714521354522087,0.9717330041014423
XGBoost,9.819607945982362e-07,0.0006910303964570713,0.9848938526735322,0.9852432207417849
