,MSE,MAE,R2,Explained Variance,最佳MSE,最佳MAE,最佳R2,最佳Explained Variance
Linear Regression,0.0031996570043768273,0.03629620207404992,0.8249726627912066,0.8251084235577459,False,False,False,False
Stochastic Gradient Descent,0.003783776087319515,0.04004164666923607,0.7930202355277685,0.8011159732327763,False,False,False,False
Random Forest,4.103043294536601e-05,0.0030245184420000073,0.997755557107175,0.9977614969427404,False,False,False,False
XGBoost,2.306806779306121e-05,0.0019552492397102183,0.9987381327202108,0.998774813159052,True,True,True,True
