,MSE,MAE,R2,Explained Variance
Linear Regression,0.3103755080997585,0.39042213651201324,-0.016030702803496943,-0.006967957985204443
Stochastic Gradient Descent,0.3072130935991367,0.3958205100746904,-0.0056783710512442465,-0.0038624199378671786
Random Forest,0.001754498060605137,0.02323782453119979,0.9942565574568112,0.9946000313507011
XGBoost,0.00030767391370259824,0.010139827582972405,0.9989928131098763,0.9990680997752696
